id,type,sourceName,sourceVersion,unit,creationDate,startDate,endDate,value,device
1282,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 23:12:00-03:00,2020-09-18 23:12:59-03:00,78.0,
1283,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 23:13:00-03:00,2020-09-18 23:13:59-03:00,77.0,
1284,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 23:15:00-03:00,2020-09-18 23:15:59-03:00,74.0,
1285,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 23:16:00-03:00,2020-09-18 23:16:59-03:00,83.0,
1286,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 23:17:00-03:00,2020-09-18 23:17:59-03:00,62.0,
1287,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:19:00-03:00,2020-09-18 23:18:00-03:00,2020-09-18 23:18:59-03:00,75.0,
1288,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:00:00-03:00,2020-09-18 00:00:59-03:00,93.0,
1289,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:01:00-03:00,2020-09-18 00:01:59-03:00,88.0,
1290,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:02:00-03:00,2020-09-18 00:02:59-03:00,92.0,
1291,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:03:00-03:00,2020-09-18 00:03:59-03:00,77.0,
1292,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:04:00-03:00,2020-09-18 00:04:59-03:00,89.0,
1293,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:05:00-03:00,2020-09-18 00:05:59-03:00,93.0,
1294,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:06:00-03:00,2020-09-18 00:06:59-03:00,94.0,
1295,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:07:00-03:00,2020-09-18 00:07:59-03:00,93.0,
1296,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:08:00-03:00,2020-09-18 00:08:59-03:00,94.0,
1297,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:09:00-03:00,2020-09-18 00:09:59-03:00,81.0,
1298,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:10:00-03:00,2020-09-18 00:10:59-03:00,77.0,
1299,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:11:00-03:00,2020-09-18 00:11:59-03:00,90.0,
1300,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:12:00-03:00,2020-09-18 00:12:59-03:00,79.0,
1301,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:13:00-03:00,2020-09-18 00:13:59-03:00,90.0,
1302,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:14:00-03:00,2020-09-18 00:14:59-03:00,92.0,
1303,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:15:00-03:00,2020-09-18 00:15:59-03:00,80.0,
1304,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:16:00-03:00,2020-09-18 00:16:59-03:00,90.0,
1305,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:17:00-03:00,2020-09-18 00:17:59-03:00,94.0,
1306,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:18:00-03:00,2020-09-18 00:18:59-03:00,94.0,
1307,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:19:00-03:00,2020-09-18 00:19:59-03:00,82.0,
1308,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:20:00-03:00,2020-09-18 00:20:59-03:00,84.0,
1309,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:21:00-03:00,2020-09-18 00:21:59-03:00,85.0,
1310,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:23:00-03:00,2020-09-18 00:23:59-03:00,80.0,
1311,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:24:00-03:00,2020-09-18 00:24:59-03:00,81.0,
1312,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:25:00-03:00,2020-09-18 00:25:59-03:00,91.0,
1313,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:26:00-03:00,2020-09-18 00:26:59-03:00,84.0,
1314,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:27:00-03:00,2020-09-18 00:27:59-03:00,91.0,
1315,HeartRate,Mi Fit,202009171106,count/min,2020-09-18 23:49:00-03:00,2020-09-18 00:28:00-03:00,2020-09-18 00:28:59-03:00,81.0,
